"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"06.12.2023","4.907,31","4.930,00","4.932,00","4.897,50","2,29M","-0,67%"
"05.12.2023","4.940,50","4.964,00","4.979,00","4.934,00","2,97M","-0,46%"
"04.12.2023","4.963,41","4.907,00","4.966,00","4.902,50","2,38M","1,58%"
"01.12.2023","4.886,02","4.925,50","4.950,00","4.881,50","2,95M","-1,00%"
"30.11.2023","4.935,50","4.921,50","4.943,50","4.918,00","212,37K","1,09%"
"29.11.2023","4.882,52","4.874,00","4.907,00","4.864,50","2,81M","0,18%"
"28.11.2023","4.873,85","4.898,50","4.909,50","4.858,50","3,17M","-0,63%"
"27.11.2023","4.904,98","4.902,00","4.923,00","4.873,00","2,77M","0,14%"
"24.11.2023","4.898,08","4.903,50","4.908,50","4.885,00","1,94M","-0,27%"
"23.11.2023","4.911,26","4.904,00","4.913,00","4.890,50","1,31M","0,14%"
"22.11.2023","4.904,57","4.904,50","4.924,00","4.881,50","2,89M","-0,07%"
"21.11.2023","4.907,97","4.856,50","4.911,50","4.847,50","2,63M","1,02%"
"20.11.2023","4.858,26","4.901,00","4.911,00","4.851,50","2,18M","-0,95%"
"17.11.2023","4.904,84","4.862,00","4.918,50","4.858,00","2,83M","0,67%"
"16.11.2023","4.872,01","4.871,50","4.895,00","4.845,00","2,73M","0,03%"
"14.11.2023","4.870,55","4.908,00","4.916,00","4.856,50","2,77M","-0,96%"
"13.11.2023","4.917,77","4.920,00","4.952,50","4.915,50","2,23M","-0,16%"
"10.11.2023","4.925,43","4.945,00","4.966,00","4.912,00","2,32M","-0,19%"
"09.11.2023","4.935,04","4.921,50","4.959,50","4.904,50","2,85M","0,34%"
"08.11.2023","4.918,57","4.900,50","4.929,50","4.883,00","2,65M","0,79%"
"07.11.2023","4.879,96","4.919,00","4.923,00","4.871,50","2,88M","-0,53%"
"06.11.2023","4.906,06","4.909,00","4.926,50","4.895,50","2,33M","-0,08%"
"03.11.2023","4.910,17","4.951,50","4.951,50","4.892,00","2,79M","-1,73%"
"01.11.2023","4.996,69","5.054,00","5.064,00","5.002,00","3,74M","-1,20%"
"31.10.2023","5.057,50","5.030,00","5.067,00","5.008,50","251,80K","0,07%"
"30.10.2023","5.053,93","4.995,00","5.060,50","4.973,00","3,73M","0,75%"
"27.10.2023","5.016,25","4.990,00","5.017,50","4.932,50","4,03M","0,37%"
